user_email,BRAD41,BRAD38,BRAD31,BRAD46,BRAD32,BRAD33,S6A,BRAD39,BRAD44,S5A,BRAD40,BRAD37,BRAD36,BRAD35,BRAD42,BRAD43,S4A,S3A,BRAD34,S2A,BRAD45
01@gmail.com,,,,Itaú Previdência|Nenhuma das anteriores,,,,,Confiança moderada,,,,,,,"Preocupação moderada, estou atento, mas ainda invisto",,,,,Não
02@gmail.com,,,,Caixa Previdência|Bradesco Previdência |XP Previdência,,,,,Confiança alta,,,,,,,,,,,Feminino,Não
03@gmail.com,,,Privada,Nenhuma das anteriores,,,,,Confiança muito baixa,,,,,,,"Nenhuma preocupação, confio completamente nas instituições",,Entre 28 e 45 anos,,,Não
04@uol.com.br,WhatsApp via ChatBot,"Conhecimento muito baixo, já ouvi falar, mas não sei como funciona",Bb,,Não tenho,,,Boleto,Confiança moderada,,,"Todo mês, como parte do meu orçamento",Até 5%,,Ajudar quem eu amo,"Preocupação moderada, estou atento, mas ainda invisto",,,,,Não
05@bol.com.br,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada","Pode ser uma grande ajuda,para pessoas daninha idade",,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,São Paulo,Acima de 60 anos,,Masculino,
06@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,Goiás,Entre 18 e 27 anos,,Masculino,
07@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Sla,,,,Menos de R$ 1.000,,,Aposentado,,,,,,,Rio de Janeiro,Entre 18 e 27 anos,,Masculino,
08@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nada,,,,Menos de R$ 1.000,,,Aposentado,,,,,,,Tocantins,Acima de 60 anos,,Feminino,
09@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,Nenhuma das anteriores,,,De R$ 1.000 a R$ 3.000,,Confiança moderada,Aposentado,,,,,,"Muita preocupação, não invisto por receio de golpes",Ceará,Entre 28 e 45 anos,,Masculino,Não
10@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nike,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,Paraná,Entre 28 e 45 anos,,Feminino,
11@gmail.comp,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Aplles,,,,Prefiro não responder,,,Aposentado,,,,,,,Bahia,Acima de 60 anos,,Prefiro não informar,
12@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,São Paulo,Acima de 60 anos,,Masculino,
13@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nike,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,São Paulo,Entre 18 e 27 anos,,Feminino,
14@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Jogos,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,Amazonas,Entre 28 e 45 anos,,Masculino,
15@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nike,,,,Prefiro não responder,,,Aposentado,,,,,,,Alagoas,Acima de 60 anos,,Masculino,
16@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Não sei,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,São Paulo,Entre 45 e 60 anos,,Feminino,
17@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Net,,,,Menos de R$ 1.000,,,Aposentado,,,,,,,Mato Grosso,Acima de 60 anos,,Feminino,
18@gmail.com,,"Conhecimento moderado, tenho uma ideia geral sobre o que é e como funciona",Google,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,Minas Gerais,Entre 28 e 45 anos,,Feminino,
19@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",coca cola,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,São Paulo,Entre 18 e 27 anos,,Masculino,
20@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Itaú,,,,Menos de R$ 1.000,,,Aposentado,,,,,,,São Paulo,Entre 28 e 45 anos,,Feminino,
21@gmail.com,,"Nenhum conhecimento, nunca ouvi falar sobre previdência privada",Nike,,,,De R$ 1.000 a R$ 3.000,,,Aposentado,,,,,,,Paraná,Entre 18 e 27 anos,,Masculino,
